ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
89900,3,1.5,1812,5227,1916,98,2
137900,2,1.75,1776,4791,1905,109,1
379900,3,1.75,2100,5227,1910,104,2
114900,2,1,960,5662,1911,103,2
79900,3,1,1404,4791,1919,95,1
99900,2,1,1000,5227,1910,104,2
950000,4,4,4141,7840,1955,59,2
169900,2,1,1065,4791,1925,89,2
329900,4,1,1654,5227,1910,104,2
249900,3,2,1909,4791,1925,89,1
249900,4,1.75,2456,5227,1911,103,3
76000,3,1,1200,5227,1939,75,1
1295000,4,4.75,4056,8712,1927,87,3
169900,3,2,1930,4791,1914,100,2
106900,2,1,1237,4791,1919,95,0
89900,3,1,1010,5662,1917,97,2
193000,3,1,1407,5227,1977,37,4
849900,4,3.25,3689,5227,2014,0,2
1250000,5,4,4846,7840,2013,1,2
89900,3,1.5,784,6098,1914,100,1
849900,4,3.25,3689,5227,2014,0,2
139900,2,1.25,1272,4791,1913,101,2
80000,3,1,1295,4791,1917,97,2
1050000,5,3.25,3612,5227,2014,0,2
